corps,general_effect,visual,music,total
Blue Devils,40.0,30.0,29.65,99.65
The Cadets,38.7,29.25,28.925,96.875
Bluecoats,39.1,29.05,29.025,97.175
Santa Clara Vanguard,38.6,28.65,28.825,96.075
Carolina Crown,38.0,28.9,28.775,95.675
The Cavaliers,37.4,28.0,28.275,93.675
Blue Knights,36.75,26.6,27.8,91.15
Phantom Regiment,36.65,27.25,27.525,91.425
Blue Stars,35.5,27.2,26.9,89.6
Boston Crusaders,35.15,27.1,26.7,88.95
Madison Scouts,35.1,25.7,26.775,87.575
Crossmen,34.55,25.6,26.075,86.225
