corps,general_effect,visual,music,total
Blue Devils,39.3,29.775,29.25,98.325
Bluecoats,39.45,29.45,29.338,98.238
Santa Clara Vanguard,38.425,29.1,29.075,96.6
Carolina Crown,38.525,28.7,29.338,96.563
The Cavaliers,38.075,28.55,28.775,95.4
Boston Crusaders,37.5,29.0,27.988,94.488
Blue Knights,36.925,27.425,27.7,92.05
Blue Stars,36.225,27.65,27.35,91.225
The Cadets,35.4,26.75,27.688,89.838
Mandarins,35.55,27.5,26.25,89.3
Crossmen,34.85,26.575,26.125,87.55
Phantom Regiment,34.6,26.1,26.538,87.238
