Corps,General Effect,Visual,Music,Total
Blue Devils,39.300,29.775,29.250,98.325
Bluecoats,39.450,29.450,29.338,98.238
Santa Clara Vanguard,38.425,29.100,29.075,96.600
Carolina Crown,38.525,28.700,29.338,96.563
The Cavaliers,38.075,28.550,28.775,95.400
Boston Crusaders,37.500,29.000,27.988,94.488
Blue Knights,36.925,27.425,27.700,92.050
Blue Stars,36.225,27.650,27.350,91.225
The Cadets,35.400,26.750,27.688,89.838
Mandarins,35.550,27.500,26.250,89.300
Crossmen,34.850,26.575,26.125,87.550
Phantom Regiment,34.600,26.100,26.538,87.238
